Each Task Period:[16, 16]

Tx_count, Rx_count: 6249 3809
Tx_count, Rx_count: 6249 3776
Tx_count, Rx_count: 6250 3682
Tx_count, Rx_count: 6250 3737
Tx_count, Rx_count: 6250 3783
Tx_count, Rx_count: 6250 3717
Tx_count, Rx_count: 6250 3747
Tx_count, Rx_count: 6249 3738
Tx_count, Rx_count: 6249 3802
Tx_count, Rx_count: 6250 3790
Tx_count, Rx_count: 6249 3781
Tx_count, Rx_count: 6249 3729
Tx_count, Rx_count: 6250 3787
Tx_count, Rx_count: 6249 3759
Tx_count, Rx_count: 6250 3739
Tx_count, Rx_count: 6249 3746
Tx_count, Rx_count: 6250 3847
Tx_count, Rx_count: 6249 3800
Tx_count, Rx_count: 6250 3756
Tx_count, Rx_count: 6249 3789
Tx_count, Rx_count: 6250 3723
Tx_count, Rx_count: 6250 3778
Tx_count, Rx_count: 6250 3736
Tx_count, Rx_count: 6250 3784
Tx_count, Rx_count: 6249 3758
Tx_count, Rx_count: 6249 3697
Tx_count, Rx_count: 6249 3801
Tx_count, Rx_count: 6250 3769
Tx_count, Rx_count: 6250 3738
Tx_count, Rx_count: 6249 3684
Tx_count, Rx_count: 6250 3781
Tx_count, Rx_count: 6250 3819
Tx_count, Rx_count: 6250 3738
Tx_count, Rx_count: 6249 3717
Tx_count, Rx_count: 6250 3739
Tx_count, Rx_count: 6250 3782
Tx_count, Rx_count: 6250 3781
Tx_count, Rx_count: 6250 3786
Tx_count, Rx_count: 6250 3729
Tx_count, Rx_count: 6249 3705
Tx_count, Rx_count: 6249 3767
Tx_count, Rx_count: 6250 3806
Tx_count, Rx_count: 6249 3805
Tx_count, Rx_count: 6250 3825
Tx_count, Rx_count: 6250 3767
Tx_count, Rx_count: 6249 3842
Tx_count, Rx_count: 6250 3787
Tx_count, Rx_count: 6250 3746
Tx_count, Rx_count: 6249 3713
Tx_count, Rx_count: 6250 3721
Tx_count, Rx_count: 6250 3699
Tx_count, Rx_count: 6250 3750
Tx_count, Rx_count: 6250 3707
Tx_count, Rx_count: 6249 3753
Tx_count, Rx_count: 6250 3748
Tx_count, Rx_count: 6250 3816
Tx_count, Rx_count: 6249 3793
Tx_count, Rx_count: 6249 3808
Tx_count, Rx_count: 6249 3815
Tx_count, Rx_count: 6250 3786
Tx_count, Rx_count: 6249 3737
Tx_count, Rx_count: 6250 3739
Tx_count, Rx_count: 6250 3773
Tx_count, Rx_count: 6250 3749
Tx_count, Rx_count: 6249 3802
Tx_count, Rx_count: 6249 3776
Tx_count, Rx_count: 6250 3798
Tx_count, Rx_count: 6250 3739
Tx_count, Rx_count: 6249 3760
Tx_count, Rx_count: 6249 3745
Tx_count, Rx_count: 6250 3816
Tx_count, Rx_count: 6250 3764
Tx_count, Rx_count: 6249 3789
Tx_count, Rx_count: 6250 3744
Tx_count, Rx_count: 6250 3765
Tx_count, Rx_count: 6249 3744
Tx_count, Rx_count: 6250 3698
Tx_count, Rx_count: 6250 3743
Tx_count, Rx_count: 6249 3737
Tx_count, Rx_count: 6250 3699
Tx_count, Rx_count: 6249 3750
Tx_count, Rx_count: 6249 3693
Tx_count, Rx_count: 6250 3816
Tx_count, Rx_count: 6249 3735
Tx_count, Rx_count: 6250 3760
Tx_count, Rx_count: 6249 3837
Tx_count, Rx_count: 6249 3726
Tx_count, Rx_count: 6249 3719
Tx_count, Rx_count: 6249 3817
Tx_count, Rx_count: 6249 3757
Tx_count, Rx_count: 6249 3822
Tx_count, Rx_count: 6250 3669
Tx_count, Rx_count: 6249 3758
Tx_count, Rx_count: 6250 3835
Tx_count, Rx_count: 6250 3688
Tx_count, Rx_count: 6250 3799
Tx_count, Rx_count: 6250 3751
Tx_count, Rx_count: 6249 3712
Tx_count, Rx_count: 6250 3781
Tx_count, Rx_count: 6250 3785
