3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 734 734 0 0 0 515 186 31 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 731 731 730 0 0 0 529 168 28 4 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 733 733 0 0 0 494 200 35 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 733 732 0 0 0 520 175 35 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 732 731 728 728 0 0 0 510 183 32 2 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 731 730 0 0 0 498 195 33 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 733 733 0 0 0 502 188 39 3 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 732 732 731 0 0 0 496 201 31 2 0 1 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 733 732 0 0 0 501 192 32 7 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 732 731 730 0 0 0 514 179 33 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 732 731 0 0 0 500 198 30 2 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 733 732 0 0 0 505 187 38 1 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 730 728 0 0 0 501 186 38 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 732 731 731 731 0 0 0 500 192 37 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 732 732 731 731 0 0 0 493 210 26 1 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 733 732 0 0 0 496 201 30 4 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 732 732 731 0 0 0 497 194 36 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 732 731 730 0 0 0 510 188 29 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 732 732 732 732 0 0 0 515 181 30 5 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 731 731 728 727 0 0 0 501 186 35 3 2 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 734 731 0 0 0 534 173 22 1 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 732 731 731 731 0 0 0 501 197 28 5 0 0 0 0 0
