Each Task Period:[13, 6]

Task1- MissCount, TotalTxCount: 17 7690
Task2- MissCount, TotalTxCount: 801 16665
Task1- MissCount, TotalTxCount: 23 7690
Task2- MissCount, TotalTxCount: 801 16665
Task1- MissCount, TotalTxCount: 22 7690
Task2- MissCount, TotalTxCount: 818 16665
Task1- MissCount, TotalTxCount: 18 7690
Task2- MissCount, TotalTxCount: 805 16665
Task1- MissCount, TotalTxCount: 17 7690
Task2- MissCount, TotalTxCount: 850 16665
Task1- MissCount, TotalTxCount: 18 7690
Task2- MissCount, TotalTxCount: 807 16665
Task1- MissCount, TotalTxCount: 26 7690
Task2- MissCount, TotalTxCount: 867 16665
Task1- MissCount, TotalTxCount: 17 7690
Task2- MissCount, TotalTxCount: 847 16665
Task1- MissCount, TotalTxCount: 26 7690
Task2- MissCount, TotalTxCount: 790 16665
Task1- MissCount, TotalTxCount: 15 7690
Task2- MissCount, TotalTxCount: 806 16665
Task1- MissCount, TotalTxCount: 22 7690
Task2- MissCount, TotalTxCount: 793 16665
Task1- MissCount, TotalTxCount: 26 7690
Task2- MissCount, TotalTxCount: 800 16665
Task1- MissCount, TotalTxCount: 24 7690
Task2- MissCount, TotalTxCount: 807 16665
Task1- MissCount, TotalTxCount: 16 7690
Task2- MissCount, TotalTxCount: 816 16665
Task1- MissCount, TotalTxCount: 21 7690
Task2- MissCount, TotalTxCount: 830 16665
Task1- MissCount, TotalTxCount: 21 7690
Task2- MissCount, TotalTxCount: 792 16665
Task1- MissCount, TotalTxCount: 25 7690
Task2- MissCount, TotalTxCount: 835 16665
Task1- MissCount, TotalTxCount: 33 7690
Task2- MissCount, TotalTxCount: 847 16665
Task1- MissCount, TotalTxCount: 38 7690
Task2- MissCount, TotalTxCount: 827 16665
Task1- MissCount, TotalTxCount: 21 7690
Task2- MissCount, TotalTxCount: 820 16665
Task1- MissCount, TotalTxCount: 31 7690
Task2- MissCount, TotalTxCount: 772 16665
Task1- MissCount, TotalTxCount: 30 7690
Task2- MissCount, TotalTxCount: 810 16665
Task1- MissCount, TotalTxCount: 20 7690
Task2- MissCount, TotalTxCount: 822 16665
Task1- MissCount, TotalTxCount: 27 7690
Task2- MissCount, TotalTxCount: 817 16665
Task1- MissCount, TotalTxCount: 28 7690
Task2- MissCount, TotalTxCount: 814 16665
Task1- MissCount, TotalTxCount: 22 7690
Task2- MissCount, TotalTxCount: 799 16665
Task1- MissCount, TotalTxCount: 26 7690
Task2- MissCount, TotalTxCount: 842 16665
Task1- MissCount, TotalTxCount: 21 7690
Task2- MissCount, TotalTxCount: 830 16665
Task1- MissCount, TotalTxCount: 20 7690
Task2- MissCount, TotalTxCount: 824 16665
Task1- MissCount, TotalTxCount: 25 7690
Task2- MissCount, TotalTxCount: 801 16665
Task1- MissCount, TotalTxCount: 24 7690
Task2- MissCount, TotalTxCount: 819 16665
Task1- MissCount, TotalTxCount: 25 7690
Task2- MissCount, TotalTxCount: 870 16665
Task1- MissCount, TotalTxCount: 14 7690
Task2- MissCount, TotalTxCount: 782 16665
Task1- MissCount, TotalTxCount: 17 7690
Task2- MissCount, TotalTxCount: 766 16665
Task1- MissCount, TotalTxCount: 37 7690
Task2- MissCount, TotalTxCount: 838 16665
Task1- MissCount, TotalTxCount: 25 7690
Task2- MissCount, TotalTxCount: 784 16665
Task1- MissCount, TotalTxCount: 24 7690
Task2- MissCount, TotalTxCount: 794 16665
Task1- MissCount, TotalTxCount: 18 7690
Task2- MissCount, TotalTxCount: 802 16665
Task1- MissCount, TotalTxCount: 24 7690
Task2- MissCount, TotalTxCount: 795 16665
Task1- MissCount, TotalTxCount: 28 7690
Task2- MissCount, TotalTxCount: 769 16665
Task1- MissCount, TotalTxCount: 26 7690
Task2- MissCount, TotalTxCount: 856 16665
Task1- MissCount, TotalTxCount: 26 7690
Task2- MissCount, TotalTxCount: 788 16665
Task1- MissCount, TotalTxCount: 17 7690
Task2- MissCount, TotalTxCount: 793 16665
Task1- MissCount, TotalTxCount: 24 7690
Task2- MissCount, TotalTxCount: 788 16665
Task1- MissCount, TotalTxCount: 23 7690
Task2- MissCount, TotalTxCount: 853 16665
Task1- MissCount, TotalTxCount: 20 7690
Task2- MissCount, TotalTxCount: 774 16665
Task1- MissCount, TotalTxCount: 28 7690
Task2- MissCount, TotalTxCount: 797 16665
Task1- MissCount, TotalTxCount: 35 7690
Task2- MissCount, TotalTxCount: 814 16665
Task1- MissCount, TotalTxCount: 20 7690
Task2- MissCount, TotalTxCount: 798 16665
Task1- MissCount, TotalTxCount: 25 7690
Task2- MissCount, TotalTxCount: 810 16665
Task1- MissCount, TotalTxCount: 28 7690
Task2- MissCount, TotalTxCount: 789 16665
